date,headline,source,related_stock,category,news_type
2023-01-24,Hindenburg Research accuses Adani Group of brazen stock manipulation and accounting fraud scheme over decades,Economic Times,ADANIENT,Conglomerate,VERIFIED
2023-01-29,Adani Group calls Hindenburg report a calculated attack on India and publishes 413-page rebuttal,Business Standard,ADANIENT,Conglomerate,VERIFIED
2023-01-30,Adani Group loses more than 68 billion dollars in three-day selloff as investors reject rebuttal,Moneycontrol,ADANIENT,Conglomerate,VERIFIED
2023-02-01,Adani Enterprises abandons 2.5 billion dollar share sale to protect investors as stock crashes 55 percent,Economic Times,ADANIENT,Conglomerate,VERIFIED
2023-02-03,Adani Enterprises shares fall 35 percent intraday as India parliament adjourned over crisis demands,Business Standard,ADANIENT,Conglomerate,VERIFIED
2023-03-02,Supreme Court orders SEBI to complete Adani investigation and appoints six-member expert committee,Moneycontrol,ADANIENT,Conglomerate,VERIFIED
2024-08-12,Hindenburg Research accuses SEBI chairperson Madhabi Puri Buch of owning stake in offshore funds linked to Adani,Economic Times,ADANIENT,Conglomerate,VERIFIED
2024-08-12,Adani stocks fall up to 17 percent intraday before recovering as second Hindenburg report triggers panic,Business Standard,ADANIENT,Conglomerate,VERIFIED
2024-11-21,US prosecutors indict Gautam Adani and nephew in alleged 265 million dollar solar energy bribery scheme,Moneycontrol,ADANIENT,Conglomerate,VERIFIED
2020-04-22,Facebook invests 5.7 billion dollars in Jio Platforms for 9.99 percent stake in largest India tech FDI,Economic Times,RELIANCE,Energy-Telecom,VERIFIED
2020-07-13,Google to invest 4.5 billion dollars in Jio Platforms as part of Indias digital economy push,Business Standard,RELIANCE,Energy-Telecom,VERIFIED
2020-07-15,Reliance Industries raises over 20 billion dollars from global investors in Jio Platforms in 12 weeks,Moneycontrol,RELIANCE,Energy-Telecom,VERIFIED
2022-08-29,Reliance Industries Q1 FY23 net profit jumps 46 percent year on year to record high on strong O2C margins,Economic Times,RELIANCE,Energy-Telecom,VERIFIED
2022-04-04,HDFC announces merger with HDFC Bank in Indias largest ever merger deal creating combined asset base of 18 trillion rupees,Business Standard,HDFCBANK,Banking,VERIFIED
2023-07-01,HDFC Bank and HDFC Limited merger completes making it worlds fourth largest bank with 154 billion dollar market cap,Moneycontrol,HDFCBANK,Banking,VERIFIED
