date,headline,source,related_stock,category,news_type,classification,confidence,reasoning,mixtral_classification,mixtral_confidence,mixtral_reasoning,consistency_score,agreement_score,calibration_flag,hallucination_score,ticker,CAR,t-statistic,p_value,is significant
2023-01-24,Hindenburg Research accuses Adani Group of brazen stock manipulation and accounting fraud scheme over decades,Economic Times,ADANIENT,Conglomerate,VERIFIED,MISLEADING,MEDIUM,"While the headline appears to accurately report Hindenburg Research's accusations, its language is sensational and implies guilt, which may not reflect the complexity of the actual allegations or the company's response.",FACTUAL,HIGH,"The headline accurately reflects a real event where Hindenburg Research released a report accusing Adani Group of stock manipulation and accounting fraud, using language that closely matches the content of the report.",0.6,0,0,0.56,ADANIENT,-0.6511665846536823,-1.6878,0.1223,0
2023-01-29,Adani Group calls Hindenburg report a calculated attack on India and publishes 413-page rebuttal,Business Standard,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"The headline accurately reports on a specific event involving the Adani Group's response to the Hindenburg report, indicating a factual representation of the situation.",FACTUAL,HIGH,"The headline accurately reports on a real event, specifically Adani Group's response to the Hindenburg report, and provides precise details about the rebuttal without using sensational language or omitting critical context.",0.8,1,0,0.08,ADANIENT,-0.24179394584214262,-0.495,0.6313,0
2023-01-30,Adani Group loses more than 68 billion dollars in three-day selloff as investors reject rebuttal,Moneycontrol,ADANIENT,Conglomerate,VERIFIED,MISLEADING,HIGH,"The headline exaggerates the impact by implying ""rejected rebuttal"" caused the loss, whereas the actual cause of the selloff would require more nuanced analysis of market sentiment and economic factors.",FACTUAL,HIGH,"The headline accurately reports a significant and verifiable financial event, specifically the Adani Group's substantial market value loss over a three-day period, without using sensational or misleading language.",0.6,0,1,0.76,ADANIENT,-0.3708536900689189,-0.7505,0.4702,0
2023-02-01,Adani Enterprises abandons 2.5 billion dollar share sale to protect investors as stock crashes 55 percent,Economic Times,ADANIENT,Conglomerate,VERIFIED,MISLEADING,HIGH,"The headline implies that Adani Enterprises abandoned the share sale due to investor protection when the actual reason is unknown and there's a lack of information on whether the sale was actually abandoned, making it a sensationalized and potentially misleading statement.",FACTUAL,HIGH,"The headline accurately reports a real event, specifically Adani Enterprises' decision to abandon its share sale, and provides precise details about the stock's performance, without using sensational language or omitting critical context.",0.6,0,1,0.76,ADANIENT,-0.3616720149821913,-0.7408,0.4758,0
2023-02-03,Adani Enterprises shares fall 35 percent intraday as India parliament adjourned over crisis demands,Business Standard,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"The headline accurately reports the intraday share price drop of Adani Enterprises and mentions a relevant external event (Indian parliament adjournment), indicating a neutral and factual report.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, including the percentage decline in Adani Enterprises shares and the context of the Indian parliament adjournment, without using sensational or manipulative language.",1.0,1,0,0.0,ADANIENT,-0.2076453813535758,-0.4337,0.6737,0
2023-03-02,Supreme Court orders SEBI to complete Adani investigation and appoints six-member expert committee,Moneycontrol,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,The language used in the headline accurately reflects official government actions and does not contain sensational or exaggerated phrases that would indicate misinformation.,FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, using precise language to convey the Supreme Court's order regarding the Adani investigation and the appointment of an expert committee.",1.0,1,0,0.0,ADANIENT,0.5190257461098048,2.476,0.0384,1
2024-08-12,Hindenburg Research accuses SEBI chairperson Madhabi Puri Buch of owning stake in offshore funds linked to Adani,Economic Times,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"This classification is due to the fact that Hindenburg Research did make a public accusation against Madhabi Puri Buch related to Adani, which can be verified through prior news articles and reports.",FACTUAL,HIGH,"The headline accurately reports on a specific accusation made by Hindenburg Research regarding SEBI chairperson Madhabi Puri Buch's alleged ownership stake in offshore funds linked to Adani, without using sensational language or apparent exaggeration.",0.8,1,0,0.08,ADANIENT,-0.01866622436550702,-0.5093,0.6216,0
2024-08-12,Hindenburg Research accuses SEBI chairperson Madhabi Puri Buch of owning stake in offshore funds linked to Adani,Economic Times,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"This classification is due to the fact that Hindenburg Research did make a public accusation against Madhabi Puri Buch related to Adani, which can be verified through prior news articles and reports.",FACTUAL,HIGH,"The headline accurately reports on a specific accusation made by Hindenburg Research regarding SEBI chairperson Madhabi Puri Buch's alleged ownership stake in offshore funds linked to Adani, without using sensational language or apparent exaggeration.",0.8,1,0,0.08,ADANIENT,-0.01866622436550702,-0.5093,0.6216,0
2024-08-12,Adani stocks fall up to 17 percent intraday before recovering as second Hindenburg report triggers panic,Business Standard,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"The headline accurately states the movement of Adani stocks and the trigger for the price fluctuation, providing context about the Hindenburg report without using sensational language.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, citing a real trigger for the stock price movement and providing precise percentage changes, without using sensational or manipulative language.",0.6,1,1,0.36,ADANIENT,-0.01866622436550702,-0.5093,0.6216,0
2024-08-12,Adani stocks fall up to 17 percent intraday before recovering as second Hindenburg report triggers panic,Business Standard,ADANIENT,Conglomerate,VERIFIED,FACTUAL,HIGH,"The headline accurately states the movement of Adani stocks and the trigger for the price fluctuation, providing context about the Hindenburg report without using sensational language.",FACTUAL,HIGH,"The headline accurately reports a specific and verifiable event, citing a real trigger for the stock price movement and providing precise percentage changes, without using sensational or manipulative language.",0.6,1,1,0.36,ADANIENT,-0.01866622436550702,-0.5093,0.6216,0
